Country,Class,KWh/m^2/day,Avg DHI,,KWh/m^2/day,Class,Capacity Factor
Cayman Is.,5,4.5-5,4.75,,,,
Central African Republic,1,<=3,2,,,,
Central African Republic,2,3-3.5,3.25,,,,
Central African Republic,3,3.5-4,3.75,,,,
Central African Republic,4,4-4.5,4.25,,,,
Central African Republic,5,4.5-5,4.75,,,,
Central African Republic,6,5-6.25,5.625,,,,
Chad,10,>7.75,9,,,,
Chad,3,3.5-4,3.75,,,,
Chad,4,4-4.5,4.25,,,,
Chad,5,4.5-5,4.75,,,,
Chad,6,5-6.25,5.625,,,,
Chad,7,6.25-7.25,6.75,,,,
Chad,8,7.25-7.5,7.375,,,,
Chad,9,7.5-7.75,7.625,,,,
Chile,1,<=3,2,,,,
Chile,10,>7.75,9,,,,
Chile,2,3-3.5,3.25,,,,
Chile,3,3.5-4,3.75,,,,
Chile,4,4-4.5,4.25,,,,
Chile,5,4.5-5,4.75,,,,
Chile,6,5-6.25,5.625,,,,
Chile,7,6.25-7.25,6.75,,,,
Chile,8,7.25-7.5,7.375,,,,
Chile,9,7.5-7.75,7.625,,,,
China,1,<=3,2,,,,
China,10,>7.75,9,,,,
China,2,3-3.5,3.25,,,,
China,3,3.5-4,3.75,,,,
China,4,4-4.5,4.25,,,,
China,5,4.5-5,4.75,,,,
China,6,5-6.25,5.625,,,,
China,7,6.25-7.25,6.75,,,,
China,8,7.25-7.5,7.375,,,,
China,9,7.5-7.75,7.625,,,,
Christmas I.,6,5-6.25,5.625,,,,
Cocos Is.,6,5-6.25,5.625,,,,
Colombia,1,<=3,2,,,,
Colombia,2,3-3.5,3.25,,,,
Colombia,3,3.5-4,3.75,,,,
Colombia,4,4-4.5,4.25,,,,
Colombia,5,4.5-5,4.75,,,,
Colombia,6,5-6.25,5.625,,,,
Colombia,7,6.25-7.25,6.75,,,,
Colombia,8,7.25-7.5,7.375,,,,
Colombia,9,7.5-7.75,7.625,,,,
Comoros,4,4-4.5,4.25,,,,
Comoros,5,4.5-5,4.75,,,,
Comoros,6,5-6.25,5.625,,,,
Congo,1,<=3,2,,,,
Congo,1,<=3,2,,,,
Congo,2,3-3.5,3.25,,,,
Congo,3,3.5-4,3.75,,,,
Congo,4,4-4.5,4.25,,,,
Congo,5,4.5-5,4.75,,,,
Congo,6,5-6.25,5.625,,,,
Cook Is.,6,5-6.25,5.625,,,,
Costa Rica,1,<=3,2,,,,
Costa Rica,2,3-3.5,3.25,,,,
Costa Rica,3,3.5-4,3.75,,,,
Costa Rica,4,4-4.5,4.25,,,,
Costa Rica,5,4.5-5,4.75,,,,
Costa Rica,6,5-6.25,5.625,,,,
Costa Rica,7,6.25-7.25,6.75,,,,
Ivory Coast,1,<=3,2,,,,
Ivory Coast,2,3-3.5,3.25,,,,
Ivory Coast,3,3.5-4,3.75,,,,
Ivory Coast,4,4-4.5,4.25,,,,
Croatia,3,3.5-4,3.75,,,,
Croatia,4,4-4.5,4.25,,,,
Croatia,5,4.5-5,4.75,,,,
Croatia,6,5-6.25,5.625,,,,
Croatia,7,6.25-7.25,6.75,,,,
Cuba,4,4-4.5,4.25,,,,
Cuba,5,4.5-5,4.75,,,,
Cuba,6,5-6.25,5.625,,,,
Cuba,7,6.25-7.25,6.75,,,,
Cyprus,4,4-4.5,4.25,,,,
Cyprus,5,4.5-5,4.75,,,,
Cyprus,6,5-6.25,5.625,,,,
Cyprus,7,6.25-7.25,6.75,,,,
Cyprus,8,7.25-7.5,7.375,,,,
Czech Republic,3,3.5-4,3.75,,,,
Czech Republic,4,4-4.5,4.25,,,,
Denmark,1,<=3,2,,,,
Denmark,2,3-3.5,3.25,,,,
Denmark,3,3.5-4,3.75,,,,
Denmark,4,4-4.5,4.25,,,,
Djibouti,3,3.5-4,3.75,,,,
Djibouti,4,4-4.5,4.25,,,,
Djibouti,5,4.5-5,4.75,,,,
Djibouti,6,5-6.25,5.625,,,,
Dominica,3,3.5-4,3.75,,,,
Dominica,4,4-4.5,4.25,,,,
Dominica,5,4.5-5,4.75,,,,
Dominican Republic,4,4-4.5,4.25,,,,
Dominican Republic,5,4.5-5,4.75,,,,
Dominican Republic,6,5-6.25,5.625,,,,
Dominican Republic,7,6.25-7.25,6.75,,,,
Ecuador,1,<=3,2,,,,
Ecuador,2,3-3.5,3.25,,,,
Ecuador,3,3.5-4,3.75,,,,
Ecuador,4,4-4.5,4.25,,,,
Ecuador,6,5-6.25,5.625,,,,
Ecuador,7,6.25-7.25,6.75,,,,
Egypt,10,>7.75,9,,,,
Egypt,4,4-4.5,4.25,,,,
Egypt,5,4.5-5,4.75,,,,
Egypt,6,5-6.25,5.625,,,,
Egypt,7,6.25-7.25,6.75,,,,
Egypt,8,7.25-7.5,7.375,,,,
Egypt,9,7.5-7.75,7.625,,,,
El Salvador,6,5-6.25,5.625,,,,
El Salvador,7,6.25-7.25,6.75,,,,
Equatorial Guinea,1,<=3,2,,,,
Eritrea,2,3-3.5,3.25,,,,
Eritrea,3,3.5-4,3.75,,,,
Eritrea,4,4-4.5,4.25,,,,
Eritrea,5,4.5-5,4.75,,,,
Eritrea,6,5-6.25,5.625,,,,
Eritrea,7,6.25-7.25,6.75,,,,
Estonia,2,3-3.5,3.25,,,,
Estonia,3,3.5-4,3.75,,,,
Estonia,4,4-4.5,4.25,,,,
Estonia,5,4.5-5,4.75,,,,
Ethiopia,1,<=3,2,,,,
Ethiopia,2,3-3.5,3.25,,,,
Ethiopia,3,3.5-4,3.75,,,,
Ethiopia,4,4-4.5,4.25,,,,
Ethiopia,5,4.5-5,4.75,,,,
Ethiopia,6,5-6.25,5.625,,,,
Ethiopia,7,6.25-7.25,6.75,,,,
Falkland Is.,3,3.5-4,3.75,,,,
Falkland Is.,4,4-4.5,4.25,,,,
Faroe Is.,1,<=3,2,,,,
Faroe Is.,2,3-3.5,3.25,,,,
Fiji,4,4-4.5,4.25,,,,
Fiji,5,4.5-5,4.75,,,,
Fiji,6,5-6.25,5.625,,,,
Finland,2,3-3.5,3.25,,,,
Finland,3,3.5-4,3.75,,,,
Finland,4,4-4.5,4.25,,,,
Finland,5,4.5-5,4.75,,,,
France,1,<=3,2,,,,
France,2,3-3.5,3.25,,,,
France,3,3.5-4,3.75,,,,
France,4,4-4.5,4.25,,,,
France,5,4.5-5,4.75,,,,
France,6,5-6.25,5.625,,,,
France,7,6.25-7.25,6.75,,,,
French Guiana,3,3.5-4,3.75,,,,
French Guiana,4,4-4.5,4.25,,,,
French Guiana,5,4.5-5,4.75,,,,
French Guiana,6,5-6.25,5.625,,,,
French Polynesia,6,5-6.25,5.625,,,,
French Southern & Antarctic Lands,1,<=3,2,,,,
French Southern & Antarctic Lands,2,3-3.5,3.25,,,,
Gabon,1,<=3,2,,,,
Gaza Strip,5,4.5-5,4.75,,,,
Gaza Strip,6,5-6.25,5.625,,,,
Georgia,2,3-3.5,3.25,,,,
Georgia,3,3.5-4,3.75,,,,
Georgia,4,4-4.5,4.25,,,,
Georgia,5,4.5-5,4.75,,,,
Georgia,6,5-6.25,5.625,,,,
Germany,1,<=3,2,,,,
Germany,3,3.5-4,3.75,,,,
Germany,4,4-4.5,4.25,,,,
Germany,5,4.5-5,4.75,,,,
Germany,6,5-6.25,5.625,,,,
Ghana,1,<=3,2,,,,
Ghana,2,3-3.5,3.25,,,,
Ghana,3,3.5-4,3.75,,,,
Ghana,4,4-4.5,4.25,,,,
Ghana,5,4.5-5,4.75,,,,
Ghana,6,5-6.25,5.625,,,,
Gibraltar,4,4-4.5,4.25,,,,
Glorioso Is.,5,4.5-5,4.75,,,,
Greece,3,3.5-4,3.75,,,,
Greece,4,4-4.5,4.25,,,,
Greece,5,4.5-5,4.75,,,,
Greece,6,5-6.25,5.625,,,,
Greece,7,6.25-7.25,6.75,,,,
Greenland,1,<=3,2,,,,
Greenland,2,3-3.5,3.25,,,,
Greenland,3,3.5-4,3.75,,,,
Greenland,4,4-4.5,4.25,,,,
Greenland,5,4.5-5,4.75,,,,
Greenland,6,5-6.25,5.625,,,,
Grenada,4,4-4.5,4.25,,,,
Guadeloupe,4,4-4.5,4.25,,,,
Guadeloupe,5,4.5-5,4.75,,,,
Guam,7,6.25-7.25,6.75,,,,
Guatemala,2,3-3.5,3.25,,,,
Guatemala,3,3.5-4,3.75,,,,
Guatemala,4,4-4.5,4.25,,,,
Guatemala,5,4.5-5,4.75,,,,
Guatemala,6,5-6.25,5.625,,,,
Guatemala,7,6.25-7.25,6.75,,,,
Guernsey,3,3.5-4,3.75,,,,
Guernsey,5,4.5-5,4.75,,,,
Guinea,1,<=3,2,,,,
Guinea,2,3-3.5,3.25,,,,
Guinea,3,3.5-4,3.75,,,,
Guinea,4,4-4.5,4.25,,,,
Guinea-Bissau,1,<=3,2,,,,
Guinea-Bissau,2,3-3.5,3.25,,,,
Guinea-Bissau,3,3.5-4,3.75,,,,
Guyana,3,3.5-4,3.75,,,,
