1,Recorded_Data,Week,Levels
229,Inflation rate searches in Lebanon,11/04/2021,0
230,Inflation rate searches in Lebanon,18/04/2021,0
231,Inflation rate searches in Lebanon,25/04/2021,29
232,Inflation rate searches in Lebanon,02/05/2021,0
233,Inflation rate searches in Lebanon,09/05/2021,0
234,Inflation rate searches in Lebanon,16/05/2021,0
235,Inflation rate searches in Lebanon,23/05/2021,0
236,Inflation rate searches in Lebanon,30/05/2021,0
237,Inflation rate searches in Lebanon,06/06/2021,0
238,Inflation rate searches in Lebanon,13/06/2021,0
239,Inflation rate searches in Lebanon,20/06/2021,0
240,Inflation rate searches in Lebanon,27/06/2021,0
241,Inflation rate searches in Lebanon,04/07/2021,0
242,Inflation rate searches in Lebanon,11/07/2021,0
243,Inflation rate searches in Lebanon,18/07/2021,0
244,Inflation rate searches in Lebanon,25/07/2021,0
245,Inflation rate searches in Lebanon,01/08/2021,0
246,Inflation rate searches in Lebanon,08/08/2021,0
247,Inflation rate searches in Lebanon,15/08/2021,0
248,Inflation rate searches in Lebanon,22/08/2021,0
249,Inflation rate searches in Lebanon,29/08/2021,0
250,Inflation rate searches in Lebanon,05/09/2021,0
251,Inflation rate searches in Lebanon,12/09/2021,100
252,Inflation rate searches in Lebanon,19/09/2021,0
253,Inflation rate searches in Lebanon,26/09/2021,0
254,Inflation rate searches in Lebanon,03/10/2021,0
255,Inflation rate searches in Lebanon,10/10/2021,0
256,Inflation rate searches in Lebanon,17/10/2021,0
257,Inflation rate searches in Lebanon,24/10/2021,0
258,Inflation rate searches in Lebanon,31/10/2021,0
259,Inflation rate searches in Lebanon,07/11/2021,0
260,Inflation rate searches in Lebanon,14/11/2021,0
261,Inflation rate searches in Lebanon,21/11/2021,0
262,Inflation rate searches in Lebanon,28/11/2021,0
263,Inflation rate searches in Lebanon,05/12/2021,0
264,Inflation rate searches in Lebanon,12/12/2021,0
265,Inflation rate searches in Lebanon,19/12/2021,45
266,Inflation rate searches in Lebanon,26/12/2021,0
267,Inflation rate searches in Lebanon,02/01/2022,0
268,Inflation rate searches in Lebanon,09/01/2022,0
269,Inflation rate searches in Lebanon,16/01/2022,0
270,Inflation rate searches in Lebanon,23/01/2022,0
271,Inflation rate searches in Lebanon,30/01/2022,0
272,Inflation rate searches in Lebanon,06/02/2022,0
273,Inflation rate searches in Lebanon,13/02/2022,0
274,Inflation rate searches in Lebanon,20/02/2022,0
275,Inflation rate searches in Lebanon,27/02/2022,96
276,Inflation rate searches in Lebanon,06/03/2022,39
277,Inflation rate searches in Lebanon,13/03/2022,0
278,Inflation rate searches in Lebanon,20/03/2022,0
279,Inflation rate searches in Lebanon,27/03/2022,0
280,Inflation rate searches in Lebanon,03/04/2022,35
281,Inflation rate searches in Lebanon,10/04/2022,0
282,Inflation rate searches in Lebanon,17/04/2022,0
283,Inflation rate searches in Lebanon,24/04/2022,46
284,Inflation rate searches in Lebanon,01/05/2022,0
285,Inflation rate searches in Lebanon,08/05/2022,0
286,Inflation rate searches in Lebanon,15/05/2022,0
287,Inflation rate searches in Lebanon,22/05/2022,0
288,Inflation rate searches in Lebanon,29/05/2022,0
289,Inflation rate searches in Lebanon,05/06/2022,0
290,Inflation rate searches in Lebanon,12/06/2022,0
291,Inflation rate searches in Lebanon,19/06/2022,0
292,Inflation rate searches in Lebanon,26/06/2022,0
293,Inflation rate searches in Lebanon,03/07/2022,0
294,Inflation rate searches in Lebanon,10/07/2022,0
295,Inflation rate searches in Lebanon,17/07/2022,0
296,Inflation rate searches in Lebanon,24/07/2022,0
297,Inflation rate searches in Lebanon,31/07/2022,0
298,Inflation rate searches in Lebanon,07/08/2022,0
299,Inflation rate searches in Lebanon,14/08/2022,0
300,Inflation rate searches in Lebanon,21/08/2022,0
301,Inflation rate searches in Lebanon,28/08/2022,0
302,Inflation rate searches in Lebanon,04/09/2022,0
303,Inflation rate searches in Lebanon,11/09/2022,0
304,Inflation rate searches in Lebanon,18/09/2022,41
305,Inflation rate searches in Lebanon,25/09/2022,0
306,Inflation rate searches in Lebanon,02/10/2022,0
307,Inflation rate searches in Lebanon,09/10/2022,0
308,Inflation rate searches in Lebanon,16/10/2022,0
309,Inflation rate searches in Lebanon,23/10/2022,0
310,Inflation rate searches in Lebanon,30/10/2022,71
311,Inflation rate searches in Lebanon,06/11/2022,0
312,Inflation rate searches in Lebanon,13/11/2022,0
313,Inflation rate searches in Lebanon,20/11/2022,0
